month,Chase,Popular,Wells Fargo,Monthly Total
2023-12,217308.26,452525.03,0,669833.29
2024-01,80163.98,542656.32,0,622820.2999999999
2024-02,85935.08,560659.1799999999,0,646594.2599999999
2024-03,200229.3,452665.02,0,652894.3200000001
2024-04,155637.66,798605.2,0,954242.86
2024-05,343843.81,746604.12,0,1090447.93
2024-06,0.0,958661.05,0,958661.05
2024-07,258061.59,1180253.63,0,1438315.22
2024-08,160738.94,1238598.3399999999,0,1399337.2799999998
2024-09,141954.71,1713158.8499999999,0,1855113.5599999998
2024-10,211700.44,1019627.02,0,1231327.46
2024-11,163604.37,928044.49,0,1091648.8599999999
2024-12,218737.98,1254443.0999999999,0,1473181.0799999998
2025-01,0.0,1058686.23,0,1058686.23
2025-02,0.0,1108701.44,0,1108701.44
2025-03,0.0,1329227.54,0,1329227.54
2025-04,0.0,112201.94,200100,312301.94
2025-05,0.0,370524.51,0,370524.51
